,IEEE,00137A000001276C
,EP,01
,DeviceName,Z311G 1-3
,BeginTime,2014-10-01
,EndTime,2014-10-01

IEEE,EP,Intime,Lux
00137A000001276C,01,"10/1/2014 4:21:58 AM",346
00137A000001276C,01,"10/1/2014 4:22:57 AM",346
00137A000001276C,01,"10/1/2014 4:23:56 AM",346
00137A000001276C,01,"10/1/2014 4:24:55 AM",346
00137A000001276C,01,"10/1/2014 4:25:54 AM",346
00137A000001276C,01,"10/1/2014 4:26:53 AM",346
00137A000001276C,01,"10/1/2014 4:27:52 AM",346
00137A000001276C,01,"10/1/2014 4:28:51 AM",346
00137A000001276C,01,"10/1/2014 4:29:50 AM",346
00137A000001276C,01,"10/1/2014 4:30:49 AM",346
00137A000001276C,01,"10/1/2014 4:31:48 AM",346
00137A000001276C,01,"10/1/2014 4:32:47 AM",346
00137A000001276C,01,"10/1/2014 4:33:46 AM",346
00137A000001276C,01,"10/1/2014 4:34:45 AM",346
00137A000001276C,01,"10/1/2014 4:35:44 AM",346
00137A000001276C,01,"10/1/2014 4:36:43 AM",346
00137A000001276C,01,"10/1/2014 4:37:42 AM",346
00137A000001276C,01,"10/1/2014 4:38:41 AM",347
00137A000001276C,01,"10/1/2014 4:39:40 AM",346
00137A000001276C,01,"10/1/2014 4:40:39 AM",346
00137A000001276C,01,"10/1/2014 4:41:38 AM",346
00137A000001276C,01,"10/1/2014 4:42:37 AM",346
00137A000001276C,01,"10/1/2014 4:43:36 AM",346
00137A000001276C,01,"10/1/2014 4:44:35 AM",346
00137A000001276C,01,"10/1/2014 4:45:34 AM",346
00137A000001276C,01,"10/1/2014 4:46:33 AM",344
00137A000001276C,01,"10/1/2014 4:47:32 AM",346
00137A000001276C,01,"10/1/2014 4:48:31 AM",346
00137A000001276C,01,"10/1/2014 4:49:30 AM",346
00137A000001276C,01,"10/1/2014 4:50:29 AM",346
00137A000001276C,01,"10/1/2014 4:51:28 AM",346
00137A000001276C,01,"10/1/2014 4:52:27 AM",346
00137A000001276C,01,"10/1/2014 4:53:26 AM",346
